type,location,speed_limit,camera_label,site_id,latitude,longitude
Fixed Camera,"A4 Bath Rd, nr jct Flowers Hill, Brislington (was 'Supertune' site)",30mph,,10100015,,
Fixed Camera,"A4 Bath Road, nr jct Kensington Park Road, Brislington (was 'Monument' site)",30mph,,10100018,,
Fixed Camera,"A4 Bath Road, nr jct Tramway Road, Bristol (was 'PDSA' site)",30mph,,10100009,,
Fixed Camera,A4 Hotwells Rd,30mph,,10100028,,
Fixed Camera,"A4 Portway (Eastbound), nr jct Woodwell Road, Shirehampton",40mph,,10100058,,
Fixed Camera,"A4 Portway (Westbound), nr jct Woodwell Road, Shirehampton",40mph,,10100059,,
Fixed Camera,"A4018 Westbury Road, Nr Jct Downs Road, Westbury on Trym",30mph,,10100048,,
Fixed Camera,"B3122 St John's Lane, nr jct Littleton Road, Bedminster",30mph,,10100006,,
Fixed Camera,"Filton Avenue, nr jct Beatrix Place, Northville, Filton",30mph,,10100004,,
Fixed Camera,"M32, Severn Beach rail line overbridge to end of motorway southbound (MetroBus lane)",40mph,,900,,
Mobile Enforcement,"A3029 Winterstoke Road, Bristol (nr 82 Winterstoke Road)",30mph,,243,,
Mobile Enforcement,"A37 Bristol Road, Bristol",30mph,,2091,,
Mobile Enforcement,"A37 Wells Road, Hengrove, Bristol",30mph,,3084,,
Mobile Enforcement,"A370 Coronation Road, Southville",30mph,,3251,,
Mobile Enforcement,"A38 Cheltenham Road, Bristol",20mph,,4144,,
Mobile Enforcement,"A38 Gloucester Road, Bristol",20mph,,4178,,
Mobile Enforcement,"A38 Rupert Street/Bridewell Street/The Haymarket, Bristol (outside The Bridewell Police Station)",20mph,,212,,
Mobile Enforcement,"A4 Bath Rd, Totterdown, Bristol",30mph,,3102,,
Mobile Enforcement,"A4 Bath Road, Hicks Gate",40mph,,3153,,
Mobile Enforcement,"A4 Brislington Hill, nr Runnymead Avenue",30mph,,401,,
Mobile Enforcement,A4 Portway Nr Roman Way,40mph,,183,,
Mobile Enforcement,A4 Portway Nr Sylvan Way/Riverleaze,40mph,,145,,
Mobile Enforcement,A4 Portway junc Barrow Hill Rd,30mph,,150,,
Mobile Enforcement,A4 Portway near Hung Road,40mph,,151,,
Mobile Enforcement,"A4 Portway, near Gateway to Water Works Building",50mph,,4140,,
Mobile Enforcement,"A4 Portway, nr Portview Road",30mph,,2014,,
Mobile Enforcement,"A4018 Falcondale Rd, Westbury on Trym",30mph,,109,,
Mobile Enforcement,"A4018 Whiteladies Road, Clifton",20mph,,4200,,
Mobile Enforcement,"A403 St Andrews Road, Avonmouth",40mph,,172,,
Mobile Enforcement,A4162 Canford Lane,30mph,,160,,
Mobile Enforcement,A4162 Sylvan Way/Dingle Rd/Canford Lane,30mph,,61,,
Mobile Enforcement,"A4174 Airport Road, Bristol",30mph,,2435,,
Mobile Enforcement,"A4174 Callington Road, Brislington, Bristol",30mph,,3193,,
Mobile Enforcement,"A4174 Hengrove Way, nr Lakeshore Drive, Bristol",40mph,,368,,
Mobile Enforcement,"A4174 Hengrove Way, nr Whitland Avenue, Bristol",30mph,,369,,
Mobile Enforcement,"A4174 King Georges Road, Bristol",30mph,,347,,
Mobile Enforcement,A4174 Ring Road,70mph,,3211,,
Mobile Enforcement,"A420 Bell Hill Road/Two Mile Hill Road, St George",30mph,,3048,,
Mobile Enforcement,"A420 Church Road, St George, Bristol",20mph,,2431,,
Mobile Enforcement,A431 Air Balloon Road,30mph,,121,,
Mobile Enforcement,A431 Nags Head Hill,30mph,,177,,
Mobile Enforcement,"A432 Downend Road, Fishponds",20mph,,352,,
Mobile Enforcement,"A432 Fishponds Road, Easton (nr jct Freemantle Road)",20mph,,231,,
Mobile Enforcement,"Allison Rd, Brislington (opposite Sherwell Road)",30mph,,2006,,
Mobile Enforcement,"Allison Road, Brislington, Bristol",20mph,,4149,,
Mobile Enforcement,"Angers Road, Bristol",20mph,,2413,,
Mobile Enforcement,"Argyle Road, Mayfield Park",30mph,,154,,
Mobile Enforcement,"Ashley Hill, Monpelier",20mph,,272,,
Mobile Enforcement,"Ashton Road, Bristol",20mph,,374,,
Mobile Enforcement,"Avonmouth Way, Avonmouth",30mph,,294,,
Mobile Enforcement,"B3119 West Town Lane, Bristol (nr Primary School)",20mph,,242,,
Mobile Enforcement,B3122 Bedminster Road,20mph,,422,,
Mobile Enforcement,"B3122 Redcatch Road, Knowle",20mph,,3054,,
Mobile Enforcement,"B3122 Redcatch Road, Knowle, Bristol",30mph,,3108,,
Mobile Enforcement,B4048 Lodge Causeway,20mph,,4147,,
Mobile Enforcement,"B4048 Lodge Hill/Lodge Road, Speedwell, Bristol",20mph,,2381,,
Mobile Enforcement,"B4052 Ashley Down Road, Bristol",20mph,,298,,
Mobile Enforcement,"B4054 Avonmouth Rd, Bristol",30mph,,164,,
Mobile Enforcement,"B4054 Cranbrook Road, Redland, Bristol",20mph,,167,,
Mobile Enforcement,"B4054 Shirehampton Rd, Sea Mills",30mph,,57,,
Mobile Enforcement,B4054 Shirehampton Road,30mph,,156,,
Mobile Enforcement,"B4055 Station Road, Henbury",20mph,,345,,
Mobile Enforcement,B4056 Henleaze Road,20mph,,4194,,
Mobile Enforcement,B4057 Knole Lane,30mph,,120,,
Mobile Enforcement,"B4058 Park Road, Stapleton",20mph,,281,,
Mobile Enforcement,"B4058 Park Road, Stapleton (nr The Chine)",30mph,,203,,
Mobile Enforcement,"B4059 Hallen Road, Henbury",20mph,,67,,
Mobile Enforcement,"B4465 Forest Road, Hillfields",20mph,,370,,
Mobile Enforcement,"B4465 Forest Road, nr Radley Road, Hillfields",20mph,,10,,
Mobile Enforcement,"B4465 Whitefield Road, Speedwell",20mph,,2370,,
Mobile Enforcement,"B4465 Whitehall Road, nr Gerrish Avenue, Upper Easton",20mph,,213,,
Mobile Enforcement,"B4465 Whitehall Road, nr Thurstons Barton, Upper Easton",20mph,,416,,
Mobile Enforcement,"B4465 Whitehall Road, nr Whitehall Avenue, Whitehall",30mph,,371,,
Mobile Enforcement,B4466 Jacobs Wells Road,20mph,,355,,
Mobile Enforcement,"B4467 Pembroke Road, Clifton",20mph,,4199,,
Mobile Enforcement,"B4469 Muller Road, Horfield, Bristol near Brent Road",30mph,,196,,
Mobile Enforcement,"Bamfield Road, Hengrove > Whitchurch Lane",30mph,,2002,,
Mobile Enforcement,"Barnstaple Road, Knowle (nr jct Barnstaple Court)",20mph,,246,,
Mobile Enforcement,"Beaufort Road, St George",20mph,,402,,
Mobile Enforcement,"Bell Barn Road, Stoke Bishop",20mph,,12,,
Mobile Enforcement,"Birchwood Road, Bristol",30mph,,3196,,
Mobile Enforcement,"Bishopsworth Road, Bristol",20mph,,4096,,
Mobile Enforcement,"Bishopthorpe Road, Bristol (nr Bishopthorpe Lane)",20mph,,184,,
Mobile Enforcement,"Bishport Ave, Hartcliffe, Bristol no 2",30mph,,3008,,
Mobile Enforcement,"Blackberry Hill, Bristol",20mph,,4190,,
Mobile Enforcement,"Blackswarth Road, Bristol",20mph,,244,,
Mobile Enforcement,"Bonnington Walk, nr Branwhite Close, Lockleaze",20mph,,2319,,
Mobile Enforcement,"Bonnington Walk, nr Wordsworth Road, Lockleaze",20mph,,2320,,
Mobile Enforcement,"Bradley Stoke Way, Bristol",30mph,,4166,,
Mobile Enforcement,"Brentry Lane, Brentry",20mph,,367,,
Mobile Enforcement,"Broad Street/High Street, Staple Hill",30mph,,258,,
Mobile Enforcement,"Broad Walk, Knowle West, Bristol",30mph,,3072,,
Mobile Enforcement,"Broadwalk, Knowle West, Bristol",20mph,,3095,,
Mobile Enforcement,"Broomhill Road, Bristol",30mph,,3086,,
Mobile Enforcement,"Cadogan Road, Bristol",20mph,,398,,
Mobile Enforcement,"Calcott Road, Knowle (nr 56 Calcott Road)",20mph,,80,,
Mobile Enforcement,"Cassel Road, Staple Hill (nr 7 Cassell Road)",30mph,,210,,
Mobile Enforcement,"Cassell Road, Staple Hill, Bristol",20mph,,4148,,
Mobile Enforcement,"Chalks Road, St George, Bristol",20mph,,2464,,
Mobile Enforcement,"Charlton Road, Brentry - 1",20mph,,4126,,
Mobile Enforcement,"Charlton Road, Brentry - 2",20mph,,410,,
Mobile Enforcement,"Church Road, Bishopsworth, Bristol",20mph,,2400,,
Mobile Enforcement,"Concorde Drive, Southmead",20mph,,290,,
Mobile Enforcement,"Constable Road, nr Crome Road, Lockleaze",20mph,,2318,,
Mobile Enforcement,"Coombe Lane, Stoke Bishop",20mph,,357,,
Mobile Enforcement,"Creswicke Road, Bristol",20mph,,2100,,
Mobile Enforcement,"Crews Hole Road, St George",20mph,,387,,
Mobile Enforcement,"Cromwell Road, St Andrews",20mph,,4122,,
Mobile Enforcement,"Cumberland Road, Bristol",30mph,,9,,
Mobile Enforcement,"Donald Road, Bedminster Down",20mph,,397,,
Mobile Enforcement,"Doncaster Road, Southmead, Bristol",20mph,,2395,,
Mobile Enforcement,"Dovercourt Road, Horfield",20mph,,2459,,
Mobile Enforcement,"Dragon Road, Winterbourne",30mph,,283,,
Mobile Enforcement,"Duckmoor Rd, Ashton Gate, Bristol",20mph,,146,,
Mobile Enforcement,"Eastfield Road, Westbury on Trym",20mph,,279,,
Mobile Enforcement,"Feeder Road, Bristol",30mph,,3051,,
Mobile Enforcement,"Fortfield Road, Whitchurch",20mph,,421,,
Mobile Enforcement,"Four Acres, Withywood",20mph,,414,,
Mobile Enforcement,Furber Road,20mph,,358,,
Mobile Enforcement,"Gill Avenue, Fishponds, Bristol",20mph,,2240,,
Mobile Enforcement,"Glenfrome Road, Eastville",20mph,,266,,
Mobile Enforcement,"Glyn Vale, Knowle",20mph,,344,,
Mobile Enforcement,"Gordon Avenue, Bristol",20mph,,278,,
Mobile Enforcement,"Great Hayles Road, Hengrove",20mph,,404,,
Mobile Enforcement,"Greenway Bush Lane, Ashton, Bristol",20mph,,215,,
Mobile Enforcement,"Guildford Road, Bristol",30mph,,384,,
Mobile Enforcement,"Hampton Road, Bristol",20mph,,52,,
Mobile Enforcement,"Hareclive Rd, Hartcliffe, Bristol",30mph,,3119,,
Mobile Enforcement,"Hawkfield Road, Bristol",30mph,,3116,,
Mobile Enforcement,"Hazelbury Road, Whitchurch",20mph,,276,,
Mobile Enforcement,"Henbury Road, Bristol",20mph,,2405,,
Mobile Enforcement,"Hengrove Avenue, Hengrove, Bristol",20mph,,263,,
Mobile Enforcement,"Hengrove Lane, Hengrove, Bristol",20mph,,262,,
Mobile Enforcement,"Highbury Road, Bedminster",20mph,,275,,
Mobile Enforcement,"Highbury Road, Horfield",20mph,,220,,
Mobile Enforcement,"Highridge Green, Bristol",30mph,,2011,,
Mobile Enforcement,"Hill View, Henleaze",20mph,,289,,
Mobile Enforcement,"Hillfields Avenue, Hillfields, Bristol",20mph,,4109,,
Mobile Enforcement,"Hillside Road, St George (nr Air Balloon Hill Primary School)",20mph,,3,,
Mobile Enforcement,"Hollister's Drive, Hartcliffe",20mph,,256,,
Mobile Enforcement,"Hollway Road, Stockwood",20mph,,291,,
Mobile Enforcement,"Hungerford Road, Bristol",20mph,,267,,
Mobile Enforcement,"Ilminster Avenue, Bristol",20mph,,58,,
Mobile Enforcement,"Jenner Boulevard, Lyde Green, Bristol",20mph,,2095,,
Mobile Enforcement,"Julian Road, Sneyd Park",20mph,,282,,
Mobile Enforcement,"Kellaway Avenue, Bristol",30mph,,84,,
Mobile Enforcement,"Kensington Park Road, Brislington",20mph,,394,,
Mobile Enforcement,"Keys Avenue, Horfield (nr jct Reynolds Walk)",20mph,,211,,
Mobile Enforcement,"Kings Walk, Bristol",20mph,,2094,,
Mobile Enforcement,"Kings Weston Road, Henbury",30mph,,174,,
Mobile Enforcement,"Kingsway, St George",20mph,,356,,
Mobile Enforcement,"Kingsweston Lane, Lawrence Weston",30mph,,176,,
Mobile Enforcement,"Ladies Mile, Durdham Down",20mph,,155,,
Mobile Enforcement,"Ladman Road, Stockwood",20mph,,292,,
Mobile Enforcement,"Landseer Avenue, Lockleaze",20mph,,385,,
Mobile Enforcement,"Long Cross, Lawrence Weston, Bristol",30mph,,178,,
Mobile Enforcement,"Lynton Road, Bedminster, Bristol",20mph,,2090,,
Mobile Enforcement,"M49 Hallen, Near Moorhouse Lane",70mph,,4135,,
Mobile Enforcement,"Marksbury Road, Bedminster",20mph,,248,,
Mobile Enforcement,"Marsh Lane, Bristol",20mph,,366,,
Mobile Enforcement,"Martock Road, Bedminster",20mph,,386,,
Mobile Enforcement,"Meadow Vale, St George, Bristol",20mph,,2444,,
Mobile Enforcement,"Merebank Road, Avonmouth",30mph,,299,,
Mobile Enforcement,"Murford Avenue, Withywood",20mph,,407,,
Mobile Enforcement,"NO LONGER IN USE AS NOW 20MPH LIMIT - Crews Hole Road, St George, Bristol",30mph,,3147,,
Mobile Enforcement,"Newbridge Road, Bristol",20mph,,359,,
Mobile Enforcement,"North Street, Ashton, Bristol",20mph,,4139,,
Mobile Enforcement,"Novers Hill, Bedminster, Bristol",20mph,,2385,,
Mobile Enforcement,"Novers Hill, Bristol",20mph,,2021,,
Mobile Enforcement,"Novers Lane, Bristol",20mph,,2013,,
Mobile Enforcement,"Old Sneed Avenue, Stoke Bishop",20mph,,395,,
Mobile Enforcement,"Oldbury Court Road, Bristol",20mph,,365,,
Mobile Enforcement,"Park Crescent, Whitehall",20mph,,373,,
